"grass","degree"
"legal","graduate"
"legal","graduate"
NA,"JUNIOR COLLEGE"
"NOT LEGAL","graduate"
"legal","graduate"
NA,"graduate"
"legal","JUNIOR COLLEGE"
"NOT LEGAL",NA
"legal","HIGH SCHOOL"
"legal","bachelor"
"NOT LEGAL","HIGH SCHOOL"
NA,"HIGH SCHOOL"
NA,"HIGH SCHOOL"
NA,"JUNIOR COLLEGE"
"NOT LEGAL","JUNIOR COLLEGE"
"NOT LEGAL","JUNIOR COLLEGE"
"NOT LEGAL","JUNIOR COLLEGE"
"legal","JUNIOR COLLEGE"
"NOT LEGAL","HIGH SCHOOL"
"NOT LEGAL","HIGH SCHOOL"
NA,"JUNIOR COLLEGE"
"NOT LEGAL","HIGH SCHOOL"
"NOT LEGAL","JUNIOR COLLEGE"
"legal","JUNIOR COLLEGE"
"legal","JUNIOR COLLEGE"
"NOT LEGAL",NA
NA,"JUNIOR COLLEGE"
"legal","graduate"
NA,"JUNIOR COLLEGE"
"legal","graduate"
NA,"graduate"
NA,"graduate"
NA,"graduate"
"NOT LEGAL","graduate"
"NOT LEGAL","JUNIOR COLLEGE"
"legal","JUNIOR COLLEGE"
NA,"HIGH SCHOOL"
NA,"JUNIOR COLLEGE"
"NOT LEGAL","HIGH SCHOOL"
"legal","graduate"
NA,"graduate"
NA,"bachelor"
NA,"HIGH SCHOOL"
"legal","JUNIOR COLLEGE"
"legal","graduate"
"legal","JUNIOR COLLEGE"
NA,"bachelor"
NA,"JUNIOR COLLEGE"
NA,NA
NA,"JUNIOR COLLEGE"
"NOT LEGAL",NA
"legal","graduate"
"legal","bachelor"
"NOT LEGAL","JUNIOR COLLEGE"
NA,NA
NA,"graduate"
"NOT LEGAL","JUNIOR COLLEGE"
"legal",NA
"legal","graduate"
"legal","graduate"
"NOT LEGAL",NA
"legal","graduate"
"legal",NA
"NOT LEGAL",NA
NA,NA
"NOT LEGAL",NA
"NOT LEGAL","graduate"
"legal",NA
"legal","graduate"
"legal","JUNIOR COLLEGE"
"legal","bachelor"
"legal",NA
NA,"graduate"
"legal","graduate"
"legal",NA
"NOT LEGAL",NA
"legal","graduate"
"legal","graduate"
"NOT LEGAL","JUNIOR COLLEGE"
NA,"HIGH SCHOOL"
"NOT LEGAL","HIGH SCHOOL"
"legal","HIGH SCHOOL"
"legal","JUNIOR COLLEGE"
NA,"HIGH SCHOOL"
"NOT LEGAL","HIGH SCHOOL"
"legal","HIGH SCHOOL"
"NOT LEGAL","HIGH SCHOOL"
"NOT LEGAL","graduate"
NA,"JUNIOR COLLEGE"
"NOT LEGAL","bachelor"
"legal","bachelor"
NA,"JUNIOR COLLEGE"
"legal","graduate"
"legal","HIGH SCHOOL"
NA,"JUNIOR COLLEGE"
NA,"bachelor"
NA,"JUNIOR COLLEGE"
"NOT LEGAL","JUNIOR COLLEGE"
"legal",NA
"legal","HIGH SCHOOL"
"legal","JUNIOR COLLEGE"
"legal",NA
"legal","JUNIOR COLLEGE"
"legal","graduate"
NA,NA
"NOT LEGAL","graduate"
