"Name","Country","Age","Height","Weight","Sex","DOB","PlaceOB","Gold","Silver","Bronze","Total","Sport","Event"
"Lamusi A","People's Republic of China",23,1.7,60,"M",1989-02-06,"NEIMONGGOL (CHN)",0,0,0,0,"Judo","Men's -60kg"
"A G Kruger","United States of America",33,1.93,125,"M",NA,"Sheldon (USA)",0,0,0,0,"Athletics","Men's Hammer Throw"
"Jamale Aarrass","France",30,1.87,76,"M",NA,"BEZONS (FRA)",0,0,0,0,"Athletics","Men's 1500m"
"Abdelhak Aatakni","Morocco",24,NA,NA,"M",1988-09-02,"AIN SEBAA (MAR)",0,0,0,0,"Boxing","Men's Light Welter (64kg)"
"Maria Abakumova","Russian Federation",26,1.78,85,"F",NA,"STAVROPOL REGION (RUS)",0,0,0,0,"Athletics","Women's Javelin Throw"
"Luc Abalo","France",27,1.82,80,"M",1984-06-09,"",0,0,0,0,"Handball","Men's Handball"
"Maria Laura Abalo","Argentina",30,1.82,73,"F",NA,"",0,0,0,0,"Rowing","Women's Pair"
"Mohamed Abarhoun","Morocco",23,1.87,75,"M",1989-03-05,"",0,0,0,0,"Football","Men's Football"
"Emanuele Abate","Italy",27,1.9,80,"M",1985-08-07,"Genova (ITA)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"Ilyas Abbadi","Algeria",19,1.7,NA,"M",NA,"MEDEA (ALG)",0,0,0,0,"Boxing","Men's Welter (69kg)"
"Sohail Abbas","Pakistan",37,NA,NA,"M",1975-09-06,"",0,0,0,0,"Hockey","Men's Hockey"
"Shakeel Abbasi","Pakistan",28,NA,NA,"M",1984-05-01,"",0,0,0,0,"Hockey","Men's Hockey"
"Soulmaz Abbasiazad","Islamic Republic of Iran",28,1.73,60,"F",NA,"",0,0,0,0,"Rowing","Women's Single Sculls"
"Simona Abbate","Italy",28,1.71,64,"F",NA,"FONDI (ITA)",0,0,0,0,"Water Polo","Women's Water Polo"
"Ahmed Abd Elgaber","Egypt",22,1.71,62,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Reem Abdalazem","Egypt",19,1.67,NA,"F",NA,"GIZA (EGY)",0,0,0,0,"SynchrnsdSwm","Women's Teams"
"Mohamed Fawzi Abdalla","United Arab Emirates",22,1.75,63,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Mohamed Abdel Baki","Egypt",25,1.62,69,"M",NA,"FAYOUM",0,0,0,0,"Weightliftng","Men's 69kg"
"Hesham Abdelaal","Egypt",18,1.67,NA,"M",1993-05-09,"ELDAKAHLIA (EGY)",0,0,0,0,"Boxing","Men's Fly (52kg)"
"Tarek Abdelazim","Egypt",25,1.75,85,"M",NA,"ELMENIA",0,0,0,0,"Weightliftng","Men's 85kg"
"Shaza Abdelrahman","Egypt",19,1.7,NA,"F",NA,"Cairo (EGY)",0,0,0,0,"SynchrnsdSwm","Women's Duets, Women's Teams"
"Mouni Abderrahim","Algeria",26,1.71,60,"F",NA,"",0,0,0,0,"Volleyball","Women's Volleyball"
"Youcef Abdi","Australia",34,1.77,66,"M",1977-07-12,"AZAZGA (ALG)",0,0,0,0,"Athletics","Men's 3000m Steeplechase"
"Abdihakem Abdirahman","United States of America",35,1.8,61,"M",1977-01-01,"HARGISA (SOM)",0,0,0,0,"Athletics","Men's Marathon"
"Moustapha Abdoulaye Hima","Niger",20,1.83,NA,"M",1992-01-01,"",0,0,0,0,"Boxing","Men's Welter (69kg)"
"Dana Abdul Razak","Iraq",26,1.65,55,"F",1986-03-01,"BAGHDAD (IRQ)",0,0,0,0,"Athletics","Women's 100m"
"Magomed Abdulhamidov","Azerbaijan",25,1.67,NA,"M",NA,"",0,0,0,0,"Boxing","Men's Bantam (56kg)"
"Muminjon Abdullaev","Uzbekistan",22,NA,NA,"M",NA,"SAMARKAND REGION (UZB)",0,0,0,0,"Wrestling","Men's 120kg Greco-Roman"
"Layes Abdullayeva","Azerbaijan",21,1.7,47,"F",NA,"Addis Ababa (ETH)",0,0,0,0,"Athletics","Women's 5000m"
"Rasul Abduraim","Kyrgyzstan",23,1.8,NA,"M",1988-12-12,"Bishkek (KGZ)",0,0,0,0,"Taekwondo","Men's -80kg"
"Yusup Abdusalomov","Tajikistan",34,1.73,84,"M",1977-08-11,"MAKHACHKALA (RUS)",0,0,0,0,"Wrestling","Men's 84kg Freestyle"
"Saeid Morad Abdvali","Islamic Republic of Iran",22,1.7,66,"M",1989-04-11,"ANDIMESHK (IRI)",0,0,0,0,"Wrestling","Men's 66kg Greco-Roman"
"Mojtaba Abedini","Islamic Republic of Iran",27,1.79,82,"M",1984-11-08,"",0,0,0,0,"Fencing","Men's Individual Sabre"
"Jennifer Abel","Canada",20,1.6,62,"F",NA,"Montreal (CAN)",0,0,1,1,"Diving","Women's 3m Springboard, Women's Synchronised 3m Springboard"
