date,temp,pressure,wind,precip
1/12/2013,44,30.14,2,0.01
1/21/2013,30,29.8,10,0.01
1/25/2013,24,30.07,13,0.01
1/26/2013,25,30.01,10,0.01
1/29/2013,34,30.02,4,0.01
2/6/2013,40,29.93,10,0.01
2/16/2013,38,29.71,8,0.01
2/20/2013,43,29.55,17,0.01
2/25/2013,41,29.91,7,0.01
3/29/2013,56,29.97,9,0.01
5/21/2013,66,29.9,10,0.01
7/8/2013,85,29.91,9,0.01
7/10/2013,86,29.8,10,0.01
7/16/2013,93,30.1,6,0.01
7/21/2013,79,29.82,9,0.01
7/28/2013,75,29.98,7,0.01
8/26/2013,84,29.87,11,0.01
8/27/2013,76,29.85,5,0.01
12/5/2013,57,29.92,4,0.01
12/22/2013,54,29.81,8,0.01
3/21/2013,35,29.62,6,0.02
4/13/2013,51,29.76,9,0.02
5/11/2013,72,29.71,12,0.02
6/6/2013,69,30.12,9,0.02
10/18/2013,70,29.62,12,0.02
2/3/2013,27,29.73,8,0.03
2/5/2013,27,29.94,7,0.03
3/31/2013,59,29.77,10,0.03
4/25/2013,66,29.85,11,0.03
5/20/2013,82,29.92,7,0.03
6/27/2013,66,29.77,7,0.03
7/1/2013,85,29.94,9,0.03
9/10/2013,77,30.03,11,0.03
10/4/2013,67,30.04,3,0.03
10/17/2013,73,29.74,9,0.03
10/27/2013,57,29.83,13,0.03
10/31/2013,63,29.81,8,0.03
11/1/2013,72,29.47,21,0.03
11/3/2013,53,29.75,11,0.03
11/10/2013,58,29.74,12,0.03
4/11/2013,49,29.83,7,0.04
5/12/2013,73,29.57,11,0.04
6/26/2013,84,29.72,7,0.04
11/17/2013,55,29.86,3,0.04
3/6/2013,41,30.05,23,0.05
3/18/2013,33,30.27,10,0.05
3/26/2013,50,29.53,11,0.05
4/19/2013,75,29.67,18,0.05
5/22/2013,60,29.91,8,0.05
5/23/2013,77,29.82,10,0.05
5/26/2013,60,29.72,16,0.05
10/30/2013,53,30.21,4,0.05
12/26/2013,36,30.09,7,0.05
4/9/2013,73,29.87,9,0.06
5/10/2013,69,29.9,7,0.06
6/12/2013,71,29.57,12,0.07
6/29/2013,83,29.52,12,0.07
8/8/2013,81,30.01,11,0.07
12/10/2013,38,29.79,11,0.07
11/12/2013,50,29.9,14,0.08
9/5/2013,70,29.86,9,0.09
12/7/2013,42,30.08,11,0.09
11/26/2013,44,30.06,9,0.1
1/30/2013,60,29.48,15,0.11
3/7/2013,37,29.99,24,0.11
6/30/2013,84,29.73,10,0.11
10/7/2013,78,29.83,12,0.11
1/11/2013,40,30.24,5,0.12
4/1/2013,62,29.51,15,0.12
4/23/2013,43,30.12,17,0.13
8/2/2013,85,29.79,8,0.13
2/9/2013,20,29.54,21,0.14
11/18/2013,67,29.54,14,0.15
1/28/2013,31,30.02,6,0.17
5/19/2013,63,30.24,8,0.17
7/11/2013,82,29.78,8,0.17
4/10/2013,54,29.88,6,0.19
2/11/2013,45,29.61,7,0.2
2/17/2013,32,29.38,22,0.2
11/7/2013,68,29.69,14,0.22
12/14/2013,31,30.16,14,0.22
2/23/2013,38,29.93,6,0.23
11/22/2013,48,29.83,5,0.25
7/25/2013,66,29.96,11,0.27
12/1/2013,47,30.01,6,0.27
3/12/2013,53,29.74,12,0.29
12/6/2013,57,29.88,11,0.3
1/31/2013,60,28.99,27,0.31
10/6/2013,62,30.13,11,0.31
6/24/2013,95,29.87,11,0.33
7/29/2013,81,29.97,7,0.33
5/25/2013,54,29.7,14,0.34
4/12/2013,43,29.79,19,0.35
3/8/2013,42,29.94,18,0.36
1/16/2013,36,29.84,7,0.37
5/8/2013,66,30.07,11,0.37
9/22/2013,73,29.62,13,0.37
4/20/2013,65,29.61,15,0.38
9/1/2013,79,29.79,9,0.38
9/2/2013,81,29.72,7,0.38
9/13/2013,76,29.57,7,0.39
6/17/2013,87,29.78,11,0.43
12/9/2013,48,29.88,12,0.43
2/19/2013,45,29.58,10,0.45
6/28/2013,81,29.5,13,0.45
12/17/2013,28,29.95,10,0.53
6/8/2013,79,29.6,12,0.54
5/24/2013,70,29.67,10,0.57
9/12/2013,88,29.68,12,0.57
5/9/2013,63,29.9,5,0.61
6/18/2013,71,29.89,7,0.63
12/15/2013,38,29.39,19,0.64
3/19/2013,36,29.61,22,0.68
12/23/2013,40,29.98,6,0.68
6/3/2013,77,29.76,10,0.71
6/13/2013,67,29.68,9,0.72
2/24/2013,38,29.69,13,0.82
5/29/2013,70,30,6,0.84
6/10/2013,69,30.03,8,0.88
7/26/2013,72,29.92,11,1
6/14/2013,74,29.64,11,1.02
2/8/2013,34,29.58,26,1.25
12/29/2013,44,29.39,8,1.32
2/27/2013,40,29.55,20,1.37
6/11/2013,64,29.59,9,1.38
8/9/2013,76,29.75,12,1.62
7/23/2013,82,29.55,6,1.76
11/27/2013,62,29.23,17,1.79
6/7/2013,58,29.83,12,3.07
